cliente_id;nome;ultima_compra;canal_origem
fb1bf408-02ec-437f-a53d-e9b9bced641a;Daniel Souza;2024-10-09;3
504f8534-af1d-4051-ab3a-d7766f841990;Maria Alice das Neves;2023-03-30;3
f379f1c9-37c1-41eb-8cbf-7cd0829839e9;Apollo Viana;2024-06-21;3
8a40c01e-0219-4182-86b6-6d54aece68a2;Emanuella Cunha;2023-08-17;2
a56f39b2-1a2d-4d94-83f6-bfea70e449e8;Enzo Monteiro;2025-01-22;1
4f8a2932-cbf6-4609-921a-d183ba36d29f;Rafael da Mota;2023-04-12;3
2dc0a904-5958-45c9-ba76-ad53a870ed85;Matheus Rios;2024-01-07;3
14f57a50-89a4-4ce7-87d6-22341b2ead22;Ana Julia Novaes;2024-04-08;2
89778485-30fe-4431-a1f2-dd1c95e030c7;Matheus Peixoto;2024-03-23;3
785703d6-9058-47df-9105-d37c35325093;Daniel Garcia;2024-10-23;3
8eadd219-979d-4637-b116-4a7fec1d3535;Sofia Nunes;2023-01-19;3
d1ce48c7-1f74-4fea-822f-ed8e0db986c3;Marcelo Azevedo;2024-05-19;1
99c59553-a6db-49ae-a940-cde10efebd25;Laura Araújo;2025-01-13;2
f36e580c-7dc6-4afd-86c2-507ac5fb6b7d;Antonella da Rocha;2023-02-03;2
ff3a3602-fe55-4519-8575-3b2419c931c6;Ayla Machado;2023-07-07;3
849dde31-c13a-4475-9c78-ae96c50ccb11;Vicente Casa Grande;2025-03-25;3
6b6c110e-fcf1-492a-8e67-c7717018e02f;Benicio Macedo;2025-03-05;3
fbfbb465-4421-4999-bd9a-b616b7347099;Théo Costa;2023-09-22;2
b0442722-c61e-4f14-a66b-372a4408f9f6;Daniela Pires;2023-06-12;2
fe69cb20-f072-48b2-a565-d29a98e7bcd3;Théo Silva;2023-03-27;1
b7a03058-2ccb-4d28-86db-fc696291fc51;Ian da Rosa;2023-02-12;3
44229e89-8945-46fc-8504-781a6239b908;Brenda da Mota;2024-03-02;3
663c7515-7380-47f0-afd1-140a8de5d7ee;Manuela Albuquerque;2023-01-31;1
a71a3877-39b6-4247-8797-ceda8904f4bc;Alice Barbosa;2023-06-25;3
363a07fe-815a-4872-9738-36f854ef3052;Fernanda da Conceição;2024-08-07;2
2972882d-81e4-407f-8bfa-3785f1cd6751;João Miguel Silva;2023-06-26;2
4205a457-fe66-416c-9ae0-b006fe1d4976;Melina Cunha;2023-04-30;1
85d9bc85-0039-4143-8ffa-543f90e7d185;Josué Campos;2024-04-23;3
a24751fb-3cbc-42ef-a983-ac02a23a6488;Davi Lucca da Luz;2023-12-23;2
4f8dd16e-d2a2-4d54-a8d2-58354d112824;Apollo Sá;2024-07-11;1
c2e17d18-7b86-4969-a003-1cc453fe2225;Ana Vitória Marques;2023-07-25;1
2e9ca000-b415-4bd0-8098-dddf347ff141;Ravy Garcia;2024-11-07;3
f74e4489-e2ca-49cf-96e1-093af4290388;Josué Caldeira;2024-07-17;1
690c4333-fb20-49dd-aa35-a6ba6afe3864;Ana Vitória Gomes;2023-08-17;3
b7f70040-d3c7-4130-b379-65e7c19e9205;Maitê Garcia;2024-04-20;3
0aaa73a7-f494-4dc4-a2b4-1def38e9ac6b;Ana Liz Porto;2024-06-18;3
0772cb5e-e163-4536-8ff3-08e28dfa54ed;Maria Luiza Casa Grande;2023-02-13;3
